State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,350,15,98
Florida,297,8,83
Ohio,273,9,48
Alabama,236,4,52
Georgia,231,4,42
California,184,7,55
South Carolina,175,3,37
Washington,163,3,23
Louisiana,162,5,41
Oregon,157,2,27
Pennsylvania,155,3,28
North Carolina,154,7,44
Michigan,150,4,36
Indiana,113,4,36
Iowa,76,2,20
Illinois,67,4,16
Utah,63,2,20
Kentucky,60,4,26
Tennessee,58,4,29
Oklahoma,56,3,31
Missouri,54,1,14
Arizona,53,2,18
Mississippi,46,4,37
Arkansas,46,3,19
Kansas,46,2,14
Minnesota,43,2,10
Virginia,37,7,25
Wisconsin,35,1,15
Maryland,28,2,14
Colorado,27,2,11
Connecticut,24,2,5
West Virginia,23,2,11
New Jersey,21,2,8
Massachusetts,18,3,11
Nebraska,15,1,14
New York,15,3,10
South Dakota,10,2,6
New Mexico,5,1,1
New Hampshire,5,1,1
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
North Dakota,1,1,1
Washington DC,1,1,1
