School,Conference,ProjectedPoints,NumberOfProspects
Alabama,SEC,204,34
Clemson,ACC,202,22
Penn State,Big Ten,176,28
Texas,SEC,171,26
Oregon,Big Ten,165,20
Ohio State,Big Ten,157,30
LSU,SEC,137,28
Georgia,SEC,133,30
Florida,SEC,114,18
Texas A&M,SEC,110,30
Auburn,SEC,108,12
Notre Dame,FBS - Independent,101,18
Utah,Big 12,94,12
South Carolina,SEC,91,14
Arizona State,Big 12,89,17
Miami (FL),ACC,77,15
Indiana,Big Ten,75,9
USC,Big Ten,70,14
Oklahoma,SEC,66,19
Michigan,Big Ten,57,20
Missouri,SEC,54,11
Iowa,Big Ten,54,10
Illinois,Big Ten,49,16
Tennessee,SEC,49,14
Washington,Big Ten,47,9
Louisville,ACC,43,10
Texas Tech,Big 12,40,9
Ole Miss,SEC,39,13
SMU,ACC,37,16
Colorado,Big 12,37,13
Florida State,ACC,33,20
Pitt,ACC,31,11
Vanderbilt,SEC,30,11
Minnesota,Big Ten,29,8
Northwestern,Big Ten,28,5
Baylor,Big 12,27,12
Kansas,Big 12,27,11
TCU,Big 12,25,12
Duke,ACC,25,6
Wisconsin,Big Ten,23,10
Cincinnati,Big 12,23,7
Iowa State,Big 12,23,6
Virginia,ACC,21,11
Michigan State,Big Ten,21,7
Boston College,ACC,20,6
Georgia Tech,ACC,17,7
NC State,ACC,17,7
Wake Forest,ACC,17,6
North Carolina,ACC,16,10
Kentucky,SEC,15,15
California,ACC,15,8
UConn,FBS - AAC,14,4
Nebraska,Big Ten,13,7
Boise State,FBS - Mountain West,12,5
Arizona,Big 12,12,4
Virginia Tech,ACC,11,9
Arkansas,SEC,11,5
Kansas State,Big 12,11,3
UCLA,Big Ten,10,6
Stanford,ACC,10,5
Texas State,FBS - Sun Belt,9,5
East Carolina,FBS - AAC,9,5
Wyoming,FBS - Mountain West,9,3
Mississippi State,SEC,8,8
Maryland,Big Ten,7,4
James Madison,FBS - Sun Belt,7,3
Toledo,FBS - MAC,7,2
Oklahoma State,Big 12,6,6
UTEP,FBS - CUSA,6,2
North Dakota State,FCS,6,1
West Virginia,Big 12,5,5
UCF,Big 12,5,5
Southern Miss,FBS - CUSA,5,5
Marshall,FBS - CUSA,5,4
UNLV,FBS - Mountain West,5,4
Purdue,Big Ten,4,4
Rutgers,Big Ten,4,4
Charlotte,FBS - AAC,4,4
Tulane,FBS - AAC,4,4
Rice,FBS - AAC,4,3
Houston,Big 12,3,3
Akron,FBS - MAC,3,3
Youngstown State,FCS,3,2
Massachusetts,FBS - MAC,3,2
Troy,FBS - Sun Belt,3,2
Sacramento State,FCS,2,2
Jacksonville State,FBS - CUSA,2,2
BYU,Big 12,2,2
Memphis,FBS - AAC,2,2
UAB,FBS - AAC,2,2
South Florida,FBS - AAC,2,2
UTSA,FBS - AAC,2,2
Appalachian State,FBS - Sun Belt,2,2
Oregon State,Pac 12,2,2
Louisiana-Lafayette,FBS - Sun Belt,2,2
Coastal Carolina,FCS,2,2
Syracuse,ACC,2,2
Florida International,FBS - CUSA,2,2
Miami (OH),FBS - MAC,2,2
Bowling Green,FBS - MAC,2,2
North Dakota,FCS,2,1
Harvard,FCS,2,1
Lafayette,FCS,1,1
Sam Houston State,FBS - CUSA,1,1
Northern Illinois,FBS - MAC,1,1
South Dakota State,FCS,1,1
William & Mary,FCS,1,1
San Diego State,FBS - Mountain West,1,1
Abilene Christian,FCS,1,1
Virginia State,D2,1,1
Buffalo,FBS - MAC,1,1
Arkansas State,FBS - Sun Belt,1,1
McNeese State,FCS,1,1
Western Michigan,FBS - MAC,1,1
Portland State,FCS,1,1
Tulsa,FBS - AAC,1,1
Nevada,FBS - Mountain West,1,1
Georgia Southern,FBS - Sun Belt,1,1
San Jose State,FBS - Mountain West,1,1
Fresno State,FBS - Mountain West,1,1
Tarleton State,D2,1,1
Cal Poly,FCS,1,1
Utah State,FBS - Mountain West,1,1
Florida Atlantic,FBS - AAC,1,1
Old Dominion,FBS - CUSA,1,1
Washington State,Pac 12,1,1
Florida A&M,FCS,1,1
Air Force,FBS - Mountain West,1,1
Stephen F. Austin,FCS,1,1
East Tennessee State,FCS,1,1
